Site Name,Tier,Digital Pub Code,Digital Rate,MG2 including e-Edition,MG2 Upsell,Digital Rate Code,Digital Term Length,Digital PID,Print Pub Code,Print Offers,Print Term Length,High FOD,High FOD Rate,High FOD Rate Code,High FOD PID,Low FOD,Low FOD Rate,Low FOD Rate Code,Low FOD PID
Coshocton,C,OC,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CT,50% Off (No OTSF),3 Months,DS,11,KH,3747137,SO,6.5,KH,3747058
Deming,C,DE,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,HL,50% Off (No OTSF),3 Months,WF,7.5,KJ,N/A,,,,
Des Moines,A,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DM,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896795,SP,4.3,{D,3896796
El Paso,B,EE,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,TM,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{3,3896922,SS,4.304732025,{3,3896923
Evansville,B,EW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,EV,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896900,SO,4.304732025,{D,3896846
Farmington,C,FE,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DT,50% Off (No OTSF),3 Months,DS,8,KD,3896938,SO,6.5,KD,3896888
Fond du Lac,C,ZF,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,TR,50% Off (No OTSF),3 Months,5S,10,KA,3896872,SW,7,KA,3896925
Fort Collins,B,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CO,$X.99 Week (No OTSF),3 Months,ST,8.652946192,VE,3896847,SW,4.304732025,VE,3896901
Fremont,C,OF,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,FM,50% Off (No OTSF),3 Months,DO,8.5,KH,3747141,3D,8,KH,3747061
Great Falls,C,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,GF,50% Off (No OTSF),3 Months,DS,12.5,GA,3896906,SW,7,GA,3896907
Green Bay,B,ZG,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,PG,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896916,L3,4.3,{D,3896917
Henderson,C,GW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,GL,50% Off (No OTSF),3 Months,T6,11.5,LE,3896908,SO,7.5,LE,3896909
Indianapolis,A,IC,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,IS,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{I,3896797,SR,4.304732025,{D,3896798
Iowa City,C,DP,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,PC,50% Off (No OTSF),3 Months,DO,10,KA,3896855,D2,6.5,KA,3896856
Kitsap,C,KW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,KS,50% Off (No OTSF),3 Months,DS,11.5,SJ,3896890,SO,7,RV,3896942
Lafayette (IN),C,LC,$3for3Months-$8.99/Mfor12M,2682,,FALSE,Year,MG2,JC,50% Off (No OTSF),3 Months,DS,,MG2,2682,SO,,MG2,2682
Lancaster,C,OL,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,LE,50% Off (No OTSF),3 Months,DS,11,KH,3747143,SO,6.5,KH,3747062
Las Cruces,C,LE,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,LC,50% Off (No OTSF),3 Months,DS,9.5,KD,3896939,SO,7,KD,3896889
Louisville,A,DG,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,CJ,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896799,SO,4.304732025,{D,3896843
Manitowoc,C,ZM,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,HR,50% Off (No OTSF),3 Months,DS,11.5,KA,3896926,L3,7,KA,3896927
Mansfield,C,OM,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,MN,50% Off (No OTSF),3 Months,DS,11.5,KH,3747146,SR,7.5,KH,3747063
Marion,C,OS,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,MS,50% Off (No OTSF),3 Months,DS,11,KH,3747148,SO,6.5,KH,3747068
Marshfield,C,ZN,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,MN,50% Off (No OTSF),3 Months,DS,11,KA,3896928,D2,7.5,KA,3896929
Milwaukee - Metro,A,ZJ,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,MJ,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3896863,SW,4.304732025,{D,3896864
Muncie,C,SP,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,MC,50% Off (No OTSF),3 Months,DS,12,GA,3746696,SO,7,GA,3746694
Newark,C,ON,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,NA,50% Off (No OTSF),3 Months,DS,11,KH,3747150,SR,6.5,KH,3747071
Oshkosh,C,ZO,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,ON,50% Off (No OTSF),3 Months,DS,12,KA,3896873,SW,8,KA,3896874
Palm Springs,B,ME,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DS,$X.99 Week (No OTSF),3 Months,DS,13.00116036,VD,3896866,SO,4.304732025,VD,3896919
Phoenix,A,AW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,AZ,$X.99 Week (No OTSF),3 Months,DS,13,OW,3896867,SW,4.3,OW,3896868
Port Clinton,C,OP,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,PH,50% Off (No OTSF),3 Months,DO,8.5,KH,3747074,3D,6.5,KH,3747155
Redding,C,RW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,RR,50% Off (No OTSF),3 Months,DS,13,KA,3896940,SO,8,KA,3896941
Reno,B,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,GJ,$X.99 Week (No OTSF),3 Months,DS,13.00116036,WD,3896920,SW,4.304732025,WD,3896869
Richmond,C,RD,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,PI,50% Off (No OTSF),3 Months,DS,11,GA,3746690,SW,6.5,GA,3746688
Ruidoso,C,RE,$3for3Months-$8.99/Mfor12M,2791,,,,,RN,,,,,,N/A,,,,
Salem,B,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SJ,$X.99 Week (No OTSF),3 Months,DS,13,YD,3896870,SW,4.3,YD,3896921
Salinas,C,CA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SC,50% Off (No OTSF),3 Months,S3,6,LA,3896884,,,,
San Angelo,C,TW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SS,50% Off (No OTSF),3 Months,DS,11.5,KA,3896880,SW,8.5,KA,3896881
Sheboygan,C,ZS,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SH,50% Off (No OTSF),3 Months,DS,11,KA,3896875,L3,7,KA,3896876
Silver City,C,SE,$3for3Months-$8.99/Mfor12M,2791,,,,,SC,50% Off (No OTSF),3 Months,WF,7.5,KG,N/A,,,,
Sioux Falls,B,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,AL,$X.99 Week (No OTSF),3 Months,DS,13.00116036,YD,3896848,SR,4.304732025,YD,3896849
Springfield,B,WA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,NL,$X.99 Week (No OTSF),3 Months,DS,13.00116036,{D,3640181,SR,4.304732025,{D,3638236
St. Cloud,B,DA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SC,$X.99 Week (No OTSF),3 Months,DS,13.00116036,YD,3896902,SS,4.304732025,YD,3896850
St. George,C,WA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SP,50% Off (No OTSF),3 Months,DS,10,KA,3896883,SR,7.5,KA,3896936
Stevens Point,C,ZP,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,SP,50% Off (No OTSF),3 Months,DS,11,KA,3896930,D2,7.5,KA,3896931
Tulare,C,AA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,AR,50% Off (No OTSF),3 Months,DO,6,KA,3896892,,,,
Ventura,B,VW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,VC,$X.99 Week (No OTSF),3 Months,DS,13.00116036,YG,3896871,SO,4.304732025,YG,3896924
Visalia,C,TA,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,TD,50% Off (No OTSF),3 Months,DO,9,KA,3896943,D2,6,KA,3896891
Wausau,C,ZW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,DH,50% Off (No OTSF),3 Months,DS,12.5,KA,3896932,SW,8,KA,3896933
Wichita Falls,C,FW,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,FR,50% Off (No OTSF),3 Months,DS,11.5,KA,3896882,SO,7,KA,3896935
Wisconsin Rapids,C,ZR,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,WR,50% Off (No OTSF),3 Months,DS,11,KA,3896877,D2,7.5,KA,3896878
Zanesville,C,OZ,$3for3Months-$8.99/Mfor12M,2791,,FALSE,Year,,ZT,50% Off (No OTSF),3 Months,DS,11.5,KH,3747076,SR,7.5,KH,3747156
